ModelName,BERTScore Precision (Mean),BERTScore Recall (Mean),BERTScore F1
paper_llama2_7b,0.88,0.92,0.9
paper_llama2_7b,0.82,0.84,0.83
paper_llama2_7b,0.83,0.82,0.83
paper_llama2_7b,0.82,0.82,0.82
paper_llama2_7b,0.87,0.87,0.87
paper_llama2_7b,0.84,0.84,0.84
paper_llama2_7b,0.89,0.89,0.89
paper_llama2_7b,0.87,0.87,0.87
paper_llama2_7b,0.79,0.83,0.81
paper_llama2_7b,0.83,0.84,0.83
paper_llama2_7b,0.79,0.84,0.81
paper_llama2_7b,0.91,0.87,0.89
paper_llama2_7b,0.8,0.83,0.81
paper_llama2_7b,0.79,0.86,0.82
paper_llama2_7b,0.87,0.91,0.89
paper_llama2_7b,0.85,0.86,0.86
paper_llama2_7b,0.87,0.9,0.88
paper_llama2_7b,0.86,0.86,0.86
paper_llama2_7b,0.81,0.86,0.83
paper_llama2_7b,0.88,0.94,0.91
paper_llama2_7b,0.9,0.92,0.91
paper_llama2_7b,0.85,0.86,0.86
paper_llama2_7b,0.86,0.87,0.86
paper_llama2_7b,0.9,0.93,0.92
paper_llama2_7b,0.86,0.88,0.87
paper_llama2_7b,0.87,0.87,0.87
paper_llama2_7b,0.9,0.92,0.91
paper_llama2_7b,0.85,0.86,0.85
paper_llama2_7b,0.82,0.85,0.83
paper_llama2_7b,0.83,0.85,0.84
paper_llama2_7b,0.85,0.83,0.84
paper_llama2_7b,0.9,0.92,0.91
paper_llama2_7b,0.89,0.89,0.89
paper_llama2_7b,0.88,0.92,0.9
paper_llama2_7b,0.85,0.88,0.86
paper_llama2_7b,0.85,0.87,0.86
paper_llama2_7b,0.85,0.86,0.86
paper_llama2_7b,0.93,0.91,0.92
paper_llama2_7b,0.87,0.86,0.87
paper_llama2_7b,0.84,0.86,0.85
paper_llama2_7b,0.8,0.82,0.81
paper_llama2_7b,0.83,0.86,0.84
paper_llama2_7b,0.87,0.88,0.87
paper_llama2_7b,0.87,0.85,0.86
paper_llama2_7b,0.81,0.82,0.82
paper_llama2_7b,0.85,0.88,0.86
paper_llama2_7b,0.92,0.91,0.92
paper_llama2_7b,0.82,0.83,0.83
paper_llama2_7b,0.85,0.87,0.86
paper_llama2_7b,0.84,0.87,0.85
paper_llama2_7b,0.78,0.86,0.82
paper_llama2_7b,0.84,0.85,0.85
paper_llama2_7b,0.85,0.84,0.84
paper_llama2_7b,0.84,0.83,0.83
paper_llama2_7b,0.89,0.89,0.89
paper_llama2_7b,0.93,0.9,0.91
paper_llama2_7b,0.86,0.88,0.87
paper_llama2_7b,0.86,0.91,0.88
paper_llama2_7b,0.86,0.84,0.85
paper_llama2_7b,0.81,0.84,0.82
paper_llama2_7b,0.92,0.93,0.92
paper_llama2_7b,0.83,0.86,0.85
paper_llama2_7b,0.86,0.88,0.87
paper_llama2_7b,0.84,0.86,0.85
paper_llama2_7b,0.84,0.89,0.87
paper_llama2_7b,0.87,0.87,0.87
paper_llama2_7b,0.85,0.9,0.88
paper_llama2_7b,0.88,0.86,0.87
paper_llama2_7b,0.84,0.9,0.87
paper_llama2_7b,0.88,0.86,0.87
paper_llama2_7b,0.87,0.87,0.87
paper_llama2_7b,0.9,0.93,0.92
paper_llama2_7b,0.82,0.87,0.84
paper_llama2_7b,0.85,0.87,0.86
paper_llama2_7b,0.9,0.93,0.91
paper_llama2_7b,0.85,0.88,0.86
paper_llama2_7b,0.86,0.82,0.84
paper_llama2_7b,0.86,0.86,0.86
paper_llama2_7b,0.86,0.88,0.87
paper_llama2_7b,0.84,0.87,0.85
paper_llama2_7b,0.91,0.93,0.92
paper_llama2_7b,0.93,0.93,0.93
paper_llama2_7b,0.84,0.82,0.83
paper_llama2_7b,0.84,0.88,0.86
paper_llama2_7b,0.87,0.89,0.88
paper_llama2_7b,0.86,0.88,0.87
paper_llama2_7b,0.87,0.84,0.85
paper_llama2_7b,0.83,0.84,0.84
paper_llama2_7b,0.87,0.87,0.87
paper_llama2_7b,0.82,0.86,0.84
paper_llama2_7b,0.85,0.87,0.86
paper_llama2_7b,0.86,0.85,0.85
paper_llama2_7b,0.89,0.87,0.88
paper_llama2_7b,0.84,0.88,0.86
paper_llama2_7b,0.85,0.85,0.85
paper_llama2_7b,0.87,0.9,0.88
paper_llama2_7b,0.86,0.88,0.87
paper_llama2_7b,0.82,0.84,0.83
paper_llama2_7b,0.9,0.9,0.9
paper_llama2_7b,0.82,0.87,0.84
paper_llama2_7b,0.87,0.87,0.87
paper_llama2_7b,0.84,0.83,0.84
paper_llama2_7b,0.88,0.9,0.89
paper_llama2_7b,0.82,0.83,0.83
paper_llama2_7b,0.82,0.87,0.84
paper_llama2_7b,0.83,0.84,0.83
paper_llama2_7b,0.78,0.85,0.81
paper_llama2_7b,0.82,0.82,0.82
paper_llama2_7b,0.8,0.89,0.84
paper_llama2_7b,0.87,0.94,0.9
paper_llama2_7b,0.86,0.89,0.87
paper_llama2_7b,0.92,0.94,0.93
paper_llama2_7b,0.87,0.86,0.87
paper_llama2_7b,0.87,0.84,0.85
paper_llama2_7b,0.89,0.88,0.89
paper_llama2_7b,0.85,0.87,0.86
paper_llama2_7b,0.92,0.93,0.92
paper_llama2_7b,0.85,0.85,0.85
paper_llama2_7b,0.79,0.86,0.83
paper_llama2_7b,0.82,0.84,0.83
paper_llama2_7b,0.85,0.85,0.85
paper_llama2_7b,0.83,0.85,0.84
paper_llama2_7b,0.86,0.86,0.86
paper_llama2_7b,0.88,0.89,0.89
paper_llama2_7b,0.91,0.88,0.89
paper_llama2_7b,0.88,0.86,0.87
paper_llama2_7b,0.85,0.86,0.85
paper_llama2_7b,0.93,0.89,0.91
paper_llama2_7b,0.93,0.9,0.92
paper_llama2_7b,0.86,0.87,0.86
paper_llama2_7b,0.89,0.89,0.89
paper_llama2_7b,0.89,0.87,0.88
paper_llama2_7b,0.83,0.82,0.83
paper_llama2_7b,0.87,0.86,0.87
paper_llama2_7b,0.8,0.82,0.81
paper_llama2_7b,0.82,0.86,0.84
paper_llama2_7b,0.89,0.88,0.89
paper_llama2_7b,0.84,0.86,0.85
paper_llama2_7b,0.82,0.86,0.84
paper_llama2_7b,0.84,0.85,0.85
paper_llama2_7b,0.86,0.78,0.82
paper_llama2_7b,0.88,0.88,0.88
paper_llama2_7b,0.85,0.86,0.85
paper_llama2_7b,0.87,0.89,0.88
paper_llama2_7b,0.88,0.9,0.89
paper_llama2_7b,0.87,0.88,0.87
paper_llama2_7b,0.94,0.96,0.95
paper_llama2_7b,0.83,0.88,0.86
paper_llama2_7b,0.79,0.85,0.82
paper_llama2_7b,0.93,0.91,0.92
paper_llama2_7b,0.89,0.86,0.88
paper_llama2_7b,0.9,0.9,0.9
paper_llama2_7b,0.84,0.84,0.84
paper_llama2_7b,0.88,0.9,0.89
paper_llama2_7b,0.87,0.9,0.88
paper_llama2_7b,0.89,0.87,0.88
paper_llama2_7b,0.89,0.88,0.89
paper_llama2_7b,0.87,0.88,0.87
paper_llama2_7b,0.86,0.88,0.87
paper_llama2_7b,0.85,0.87,0.86
paper_llama2_7b,0.87,0.93,0.9
paper_llama2_7b,0.87,0.83,0.85
paper_llama2_7b,0.87,0.86,0.87
paper_llama2_7b,0.87,0.89,0.88
paper_llama2_7b,0.83,0.89,0.86
paper_llama2_7b,0.89,0.91,0.9
paper_llama2_7b,0.83,0.87,0.85
paper_llama2_7b,0.83,0.83,0.83
paper_llama2_7b,0.86,0.9,0.88
paper_llama2_7b,0.9,0.87,0.88
paper_llama2_7b,0.86,0.87,0.86
paper_llama2_7b,0.8,0.84,0.82
paper_llama2_7b,0.85,0.85,0.85
paper_llama2_7b,0.85,0.87,0.86
paper_llama2_7b,0.81,0.84,0.83
paper_llama2_7b,0.9,0.91,0.91
paper_llama2_7b,0.88,0.89,0.88
paper_llama2_7b,0.81,0.84,0.83
paper_llama2_7b,0.88,0.89,0.89
paper_llama2_7b,0.88,0.95,0.91
paper_llama2_7b,0.8,0.84,0.82
paper_llama2_7b,0.82,0.88,0.85
paper_llama2_7b,0.87,0.86,0.86
paper_llama2_7b,0.81,0.84,0.83
paper_llama2_7b,0.82,0.85,0.83
paper_llama2_7b,0.85,0.83,0.84
paper_llama2_7b,0.83,0.85,0.84
paper_llama2_7b,0.87,0.84,0.86
paper_llama2_7b,0.87,0.89,0.88
paper_llama2_7b,0.83,0.92,0.87
paper_llama2_7b,0.87,0.91,0.89
paper_llama2_7b,0.86,0.89,0.87
paper_llama2_7b,0.88,0.91,0.9
paper_llama2_7b,0.85,0.89,0.87
paper_llama2_7b,0.81,0.85,0.83
paper_llama2_7b,0.81,0.84,0.82
paper_llama2_7b,0.83,0.87,0.85
paper_llama2_7b,0.86,0.9,0.88
paper_llama2_7b,0.89,0.91,0.9
paper_llama2_7b,0.87,0.9,0.88
paper_llama2_7b,0.87,0.91,0.89
paper_llama2_7b,0.83,0.88,0.85
paper_llama2_7b,0.85,0.86,0.86
paper_llama2_7b,0.83,0.85,0.84
paper_llama2_7b,0.84,0.8,0.82
paper_llama2_7b,0.89,0.87,0.88
paper_llama2_7b,0.9,0.88,0.89
paper_llama2_7b,0.82,0.9,0.86
paper_llama2_7b,0.93,0.96,0.95
paper_llama2_7b,0.86,0.87,0.87
paper_llama2_7b,0.81,0.87,0.84
paper_llama2_7b,0.87,0.87,0.87
paper_llama2_7b,0.88,0.92,0.9
paper_llama2_7b,0.84,0.87,0.85
paper_llama2_7b,0.88,0.85,0.86
paper_llama2_7b,0.85,0.86,0.86
paper_llama2_7b,0.91,0.91,0.91
paper_llama2_7b,0.94,0.9,0.92
paper_llama2_7b,0.89,0.88,0.89
paper_llama2_7b,0.79,0.86,0.82
paper_llama2_7b,0.84,0.84,0.84
paper_llama2_7b,0.82,0.86,0.84
paper_llama2_7b,0.83,0.85,0.84
paper_llama2_7b,0.86,0.88,0.87
paper_llama2_7b,0.89,0.86,0.87
paper_llama2_7b,0.88,0.84,0.86
paper_llama2_7b,0.9,0.91,0.9
paper_llama2_7b,0.84,0.86,0.85
paper_llama2_7b,0.89,0.92,0.91
paper_llama2_7b,0.83,0.83,0.83
paper_llama2_7b,0.85,0.84,0.85
paper_llama2_7b,0.87,0.9,0.89
paper_llama2_7b,0.83,0.86,0.84
paper_llama2_7b,0.87,0.86,0.86
paper_llama2_7b,0.95,0.95,0.95
paper_llama2_7b,0.89,0.86,0.87
paper_llama2_7b,0.8,0.86,0.83
paper_llama2_7b,0.9,0.85,0.87
paper_llama2_7b,0.82,0.89,0.85
paper_llama2_7b,0.88,0.92,0.9
paper_llama2_7b,0.88,0.91,0.89
paper_llama2_7b,0.87,0.89,0.88
paper_llama2_7b,0.88,0.89,0.89
paper_llama2_7b,0.87,0.84,0.85
paper_llama2_7b,0.84,0.82,0.83
paper_llama2_7b,0.85,0.9,0.88
paper_llama2_7b,0.84,0.84,0.84
paper_llama2_7b,0.83,0.86,0.84
paper_llama2_7b,0.84,0.9,0.87
paper_llama2_7b,0.84,0.86,0.85
paper_llama2_7b,0.85,0.87,0.86
paper_llama2_7b,0.85,0.88,0.86
paper_llama2_7b,0.84,0.91,0.87
paper_llama2_7b,0.87,0.86,0.87
paper_llama2_7b,0.88,0.86,0.87
paper_llama2_7b,0.84,0.88,0.86
paper_llama2_7b,0.86,0.83,0.84
paper_llama2_7b,0.88,0.87,0.88
paper_llama2_7b,0.88,0.9,0.89
paper_llama2_7b,0.86,0.85,0.85
paper_llama2_7b,0.8,0.87,0.83
paper_llama2_7b,0.86,0.87,0.87
paper_llama2_7b,0.84,0.87,0.85
paper_llama2_7b,0.78,0.88,0.83
paper_llama2_7b,0.87,0.86,0.87
paper_llama2_7b,0.87,0.87,0.87
paper_llama2_7b,0.81,0.89,0.85
paper_llama2_7b,0.91,0.89,0.9
paper_llama2_7b,0.86,0.89,0.88
paper_llama2_7b,0.88,0.89,0.89
paper_llama2_7b,0.8,0.85,0.82
paper_llama2_7b,0.9,0.92,0.91
paper_llama2_7b,0.83,0.84,0.83
paper_llama2_7b,0.86,0.88,0.87
paper_llama2_7b,0.86,0.92,0.89
paper_llama2_7b,0.85,0.83,0.84
paper_llama2_7b,0.86,0.89,0.87
paper_llama2_7b,0.84,0.82,0.83
paper_llama2_7b,0.84,0.87,0.86
paper_llama2_7b,0.86,0.91,0.88
paper_llama2_7b,0.87,0.93,0.9
paper_llama2_7b,0.94,0.94,0.94
paper_llama2_7b,0.84,0.84,0.84
paper_llama2_7b,0.85,0.89,0.87
paper_llama2_7b,0.9,0.86,0.88
paper_llama2_7b,0.87,0.87,0.87
paper_llama2_7b,0.86,0.89,0.88
paper_llama2_7b,0.85,0.89,0.87
paper_llama2_7b,0.86,0.85,0.85
paper_llama2_7b,0.83,0.84,0.83
paper_llama2_7b,0.85,0.87,0.86
paper_llama2_7b,0.87,0.9,0.88
paper_llama2_7b,0.87,0.87,0.87
paper_llama2_7b,0.88,0.85,0.86
paper_llama2_7b,0.86,0.9,0.88
paper_llama2_7b,0.86,0.93,0.89
paper_llama2_7b,0.88,0.91,0.9
paper_llama2_7b,0.82,0.84,0.83
paper_llama2_7b,0.85,0.88,0.87
paper_llama2_7b,0.87,0.89,0.88
paper_llama2_7b,0.89,0.86,0.87
paper_llama2_7b,0.82,0.83,0.83
paper_llama2_7b,0.86,0.86,0.86
paper_llama2_7b,0.94,0.96,0.95
paper_llama2_7b,0.89,0.89,0.89
paper_llama2_7b,0.86,0.84,0.85
paper_llama2_7b,0.84,0.83,0.84
paper_llama2_7b,0.84,0.85,0.85
paper_llama2_7b,0.89,0.91,0.9
paper_llama2_7b,0.89,0.87,0.88
paper_llama2_7b,0.86,0.87,0.86
paper_llama2_7b,0.88,0.89,0.88
paper_llama2_7b,0.83,0.87,0.85
paper_llama2_7b,0.83,0.86,0.85
paper_llama2_7b,0.92,0.91,0.91
paper_llama2_7b,0.8,0.83,0.82
paper_llama2_7b,0.85,0.84,0.84
paper_llama2_7b,0.84,0.85,0.84
paper_llama2_7b,0.88,0.88,0.88
paper_llama2_7b,0.9,0.94,0.92
paper_llama2_7b,0.85,0.85,0.85
paper_llama2_7b,0.86,0.89,0.87
paper_llama2_7b,0.84,0.86,0.85
paper_llama2_7b,0.9,0.91,0.9
paper_llama2_7b,0.87,0.88,0.87
paper_llama2_7b,0.91,0.9,0.91
paper_llama2_7b,0.87,0.9,0.89
paper_llama2_7b,0.87,0.88,0.88
paper_llama2_7b,0.88,0.9,0.89
paper_llama2_7b,0.82,0.91,0.86
paper_llama2_7b,0.87,0.92,0.89
paper_llama2_7b,0.89,0.91,0.9
paper_llama2_7b,0.82,0.86,0.84
paper_llama2_7b,0.82,0.83,0.82
paper_llama2_7b,0.88,0.87,0.88
paper_llama2_7b,0.87,0.85,0.86
paper_llama2_7b,0.81,0.83,0.82
paper_llama2_7b,0.88,0.9,0.89
paper_llama2_7b,0.82,0.78,0.8
paper_llama2_7b,0.91,0.91,0.91
paper_llama2_7b,0.86,0.86,0.86
paper_llama2_7b,0.91,0.89,0.9
paper_llama2_7b,0.8,0.85,0.82
paper_llama2_7b,0.8,0.87,0.83
paper_llama2_7b,0.87,0.89,0.88
paper_llama2_7b,0.85,0.86,0.86
paper_llama2_7b,0.83,0.89,0.86
paper_llama2_7b,0.85,0.86,0.85
paper_llama2_7b,0.82,0.86,0.84
paper_llama2_7b,0.85,0.87,0.86
paper_llama2_7b,0.85,0.89,0.87
paper_llama2_7b,0.88,0.89,0.89
paper_llama2_7b,0.9,0.86,0.88
paper_llama2_7b,0.83,0.87,0.85
paper_llama2_7b,0.88,0.88,0.88
paper_llama2_7b,0.92,0.9,0.91
paper_llama2_7b,0.9,0.92,0.91
paper_llama2_7b,0.85,0.86,0.85
paper_llama2_7b,0.84,0.86,0.85
paper_llama2_7b,0.84,0.85,0.85
paper_llama2_7b,0.87,0.9,0.89
paper_llama2_7b,0.85,0.86,0.85
paper_llama2_7b,0.86,0.87,0.87
paper_llama2_7b,0.84,0.83,0.84
paper_llama2_7b,0.86,0.88,0.87
paper_llama2_7b,0.83,0.84,0.83
paper_llama2_7b,0.87,0.89,0.88
paper_llama2_7b,0.85,0.83,0.84
paper_llama2_7b,0.88,0.9,0.89
paper_llama2_7b,0.89,0.9,0.9
paper_llama2_7b,0.85,0.86,0.86
paper_llama2_7b,0.86,0.86,0.86
paper_llama2_7b,0.88,0.89,0.88
paper_llama2_7b,0.88,0.87,0.87
paper_llama2_7b,0.92,0.9,0.91
paper_llama2_7b,0.86,0.88,0.87
paper_llama2_7b,0.86,0.84,0.85
paper_llama2_7b,0.87,0.9,0.89
paper_llama2_7b,0.89,0.87,0.88
paper_llama2_7b,0.89,0.88,0.89
paper_llama2_7b,0.81,0.84,0.83
paper_llama2_7b,0.83,0.86,0.85
paper_llama2_7b,0.82,0.87,0.85
paper_llama2_7b,0.87,0.9,0.88
paper_llama2_7b,0.87,0.87,0.87
paper_llama2_7b,0.86,0.85,0.86
paper_llama2_7b,0.89,0.92,0.91
paper_llama2_7b,0.89,0.9,0.89
paper_llama2_7b,0.91,0.92,0.91
paper_llama2_7b,0.91,0.91,0.91
paper_llama2_7b,0.83,0.86,0.84
paper_llama2_7b,0.9,0.9,0.9
paper_llama2_7b,0.83,0.84,0.84
paper_llama2_7b,0.9,0.87,0.89
paper_llama2_7b,0.86,0.87,0.87
paper_llama2_7b,0.87,0.88,0.88
paper_llama2_7b,0.82,0.84,0.83
paper_llama2_7b,0.91,0.9,0.9
paper_llama2_7b,0.87,0.92,0.9
paper_llama2_7b,0.89,0.89,0.89
paper_llama2_7b,0.86,0.87,0.87
paper_llama2_7b,0.86,0.89,0.87
paper_llama2_7b,0.82,0.85,0.84
paper_llama2_7b,0.88,0.85,0.86
paper_llama2_7b,0.81,0.86,0.83
paper_llama2_7b,0.87,0.88,0.87
paper_llama2_7b,0.87,0.83,0.85
paper_llama2_7b,0.85,0.83,0.84
paper_llama2_7b,0.87,0.84,0.86
paper_llama2_7b,0.92,0.92,0.92
paper_llama2_7b,0.85,0.88,0.86
paper_llama2_7b,0.83,0.85,0.84
paper_llama2_7b,0.85,0.85,0.85
paper_llama2_7b,0.85,0.8,0.82
paper_llama2_7b,0.87,0.87,0.87
paper_llama2_7b,0.76,0.83,0.79
paper_llama2_7b,0.88,0.89,0.88
paper_llama2_7b,0.85,0.82,0.83
paper_llama2_7b,0.87,0.9,0.88
paper_llama2_7b,0.84,0.85,0.85
paper_llama2_7b,0.85,0.88,0.86
paper_llama2_7b,0.83,0.84,0.84
paper_llama2_7b,0.84,0.91,0.87
paper_llama2_7b,0.8,0.84,0.82
paper_llama2_7b,0.87,0.91,0.89
paper_llama2_7b,0.87,0.86,0.87
paper_llama2_7b,0.89,0.89,0.89
paper_llama2_7b,0.88,0.86,0.87
paper_llama2_7b,0.84,0.79,0.81
paper_llama2_7b,0.83,0.82,0.82
paper_llama2_7b,0.85,0.84,0.85
paper_llama2_7b,0.8,0.82,0.81
paper_llama2_7b,0.81,0.85,0.83
paper_llama2_7b,0.85,0.84,0.84
paper_llama2_7b,0.85,0.86,0.85
paper_llama2_7b,0.84,0.84,0.84
paper_llama2_7b,0.84,0.85,0.85
paper_llama2_7b,0.82,0.84,0.83
paper_llama2_7b,0.79,0.83,0.81
paper_llama2_7b,0.82,0.81,0.82
paper_llama2_7b,0.85,0.84,0.84
paper_llama2_7b,0.9,0.88,0.89
paper_llama2_7b,0.86,0.87,0.86
paper_llama2_7b,0.78,0.9,0.84
paper_llama2_7b,0.84,0.83,0.84
paper_llama2_7b,0.8,0.85,0.82
paper_llama2_7b,0.87,0.86,0.87
paper_llama2_7b,0.8,0.85,0.82
paper_llama2_7b,0.8,0.85,0.83
paper_llama2_7b,0.84,0.88,0.86
paper_llama2_7b,0.82,0.86,0.84
paper_llama2_7b,0.83,0.85,0.84
paper_llama2_7b,0.81,0.83,0.82
paper_llama2_7b,0.85,0.9,0.87
paper_llama2_7b,0.83,0.83,0.83
paper_llama2_7b,0.84,0.88,0.86
paper_llama2_7b,0.82,0.86,0.84
paper_llama2_7b,0.86,0.85,0.85
paper_llama2_7b,0.84,0.86,0.85
paper_llama2_7b,0.85,0.85,0.85
paper_llama2_7b,0.84,0.88,0.86
paper_llama2_7b,0.87,0.85,0.86
paper_llama2_7b,0.83,0.86,0.85
paper_llama2_7b,0.81,0.81,0.81
paper_llama2_7b,0.84,0.84,0.84
paper_llama2_7b,0.88,0.89,0.88
paper_llama2_7b,0.81,0.84,0.82
paper_llama2_7b,0.86,0.84,0.85
paper_llama2_7b,0.85,0.86,0.85
paper_llama2_7b,0.83,0.83,0.83
paper_llama2_7b,0.84,0.85,0.85
paper_llama2_7b,0.86,0.89,0.87
paper_llama2_7b,0.82,0.84,0.83
paper_llama2_7b,0.86,0.84,0.85
paper_llama2_7b,0.85,0.86,0.85
paper_llama2_7b,0.85,0.84,0.84
paper_llama2_7b,0.87,0.86,0.87
paper_llama2_7b,0.84,0.88,0.86
paper_llama2_7b,0.82,0.9,0.86
paper_llama2_7b,0.81,0.82,0.82
